"Lizzie Leigh","莉齐·利"
"Whatever the result was, she did not speak; but threw off the bed-clothes wherewith Susan had tenderly covered up the little creature, and felt its left side.","无论结果怎样，她一句话都没有说；她扯掉了苏珊轻轻盖在小家伙身上的被褥，感受她的心跳。"
"Then she threw up her arms, with a cry of wild despair.","然后她张开双臂，发出疯狂绝望的哭声。"
"“She is dead! she is dead!”","“她死了！她死了！”"
"She looked so fierce, so mad, so haggard, that, for an instant, Susan was terrified; the next, the holy God had put courage into her heart, and her pure arms were round that guilty, wretched creature, and her tears were falling fast and warm upon her breast.","她看上去是那么凶猛，那么疯狂，那么憔悴，以至于有那么一瞬间，苏珊被吓到了；但很快，神圣的上帝又让她鼓起了勇气，她用双臂紧紧抱着那个内疚、可怜的人，热泪滚滚而下，温暖着她的胸膛。"
"But she was thrown off with violence.","但是她被用力甩开了。"
"“You killed her—you slighted her—you let her fall down those stairs! you killed her!”","“是你杀了她——你没看好她——你让她从楼梯上摔了下来！是你杀了她！”"
"Susan cleared off the thick mist before her, and, gazing at the mother with her clear, sweet angel eyes, said, mournfully—“I would have laid down my own life for her.”","苏珊擦去了眼前厚厚的一层水雾，用她那清澈、温柔如天使般的双眼望着这个母亲，伤心地说道：“我宁愿舍弃自己的生命来换回她的。”"
"“Oh, the murder is on my soul!” exclaimed the wild, bereaved mother, with the fierce impetuosity of one who has none to love her, and to be beloved, regard to whom might teach self-restraint.","“哦，我的心也死了！”这个疯狂的失去孩子的母亲嚷道，失去了爱她和她爱的人，她的情绪极度暴躁，几乎无法控制。"
"“Hush!” said Susan, her finger on her lips.","“嘘！”苏珊轻声说道，手指放在嘴唇上。"
"“Here is the doctor.","“医生来了。"
"God may suffer her to live.”","愿上帝让她活下去。”"
"The poor mother turned sharp round.","可怜的母亲突然转过头来。"
"The doctor mounted the stair.","医生走上楼来。"
"Ah! that mother was right; the little child was really dead and gone.","唉！孩子的母亲是对的，小孩已经不在人世了。"
"And when he confirmed her judgment, the mother fell down in a fit.","得知她的判断被确认属实，这位母亲昏倒在了地上。"
"Susan, with her deep grief, had to forget herself, and forget her darling (her charge for years), and question the doctor what she must do with the poor wretch, who lay on the floor in such extreme of misery.","苏珊，带着一颗沉痛的心，不得不忘掉自己，忘掉她的宝贝（她照顾了多年的宝贝），她向医生询问需要为这个躺在地上，陷入极度悲伤的可怜人做点儿什么。"
"“She is the mother!” said she.","“她是孩子的母亲！”她说道。"
"“Why did she not take better care of her child?” asked he, almost angrily.","“为什么她没有好好照顾自己的孩子？”他近乎生气地问道。"
"But Susan only said, “The little child slept with me; and it was I that left her.”","可是苏珊仅仅回答说：“孩子是和我睡在一起的，是我离开了她。”"
"“I will go back and make up a composing draught; and while I am away you must get her to bed.”","“我会回来给她配一些药水，我不在时你一定要把她弄到床上去。”"
"Susan took out some of her own clothes, and softly undressed the stiff, powerless form.","苏珊找出几件她自己的衣服，轻轻地把衣服从那僵硬无力的身体上换掉。"
"There was no other bed in the house but the one in which her father slept.","除了楼下她父亲睡觉的地方以外，房子里再没有其他的床了。"
"So she tenderly lifted the body of her darling; and was going to take it downstairs, but the mother opened her eyes, and seeing what she was about, she said—“I am not worthy to touch her, I am so wicked.","因此她轻柔地抱起了她的宝贝，准备把她带到楼下去，但是孩子的母亲这时睁开了双眼，看到这些，她说道：“我不配碰她，我太可恶了。"
"I have spoken to you as I never should have spoken; but I think you are very good.","我永远都不该像刚才那样对你说话，但是我想你是一个非常好的人。"
"May I have my own child to lie in my arms for a little while?”","我可以把我的孩子抱在怀里一会儿吗？”"
"Her voice was so strange a contrast to what it had been before she had gone into the fit, that Susan hardly recognised it: it was now so unspeakably soft, so irresistibly pleading; the features too had lost their fierce expression, and were almost as placid as death.","她的声音和昏倒之前有着天壤之别，苏珊几乎没有听出来：此刻是说不出的温柔，如此令人难以抗拒的恳求；她的面容也没有了之前的狂暴表情，现在几乎是平静得如死人一般。"
"Susan could not speak, but she carried the little child, and laid it in its mother’s arms; then, as she looked at them, something overpowered her, and she knelt down, crying aloud—“Oh, my God, my God, have mercy on her, and forgive and comfort her.”","苏珊说不出话来，但她还是把孩子抱过来，放到她母亲的怀里；然后，当她望着她们时，她再也控制不住，跪了下来，大声哭起来：“哦，上帝，我的上帝，宽恕她吧，请原谅她，给她安慰。”"
"But the mother kept smiling, and stroking the little face, murmuring soft, tender words, as if it were alive.","但是孩子的母亲却一直在微笑，抚摸着孩子的小脸，低声发出轻柔、温和的话语，好像孩子还活着一样。"
"She was going mad, Susan thought; but she prayed on, and on, and ever still she prayed with streaming eyes.","她快要疯了，苏珊心想，她不停地在祈祷，眼中的泪水也一直没有干。"
"The doctor came with the draught.","医生带着药水回来了。"
"The mother took it, with docile unconsciousness of its nature as medicine.","孩子的母亲服了药，温顺得连药的名字都不去问。"
"The doctor sat by her; and soon she fell asleep.","医生坐在她的身旁，很快她就睡着了。"
"Then he rose softly, and beckoning Susan to the door, he spoke to her there.","然后他轻轻地站起来，示意苏珊到门口来，在那里和她说话。"
"“You must take the corpse out of her arms.","“你必须把尸体从她怀里拿开。"
"She will not awake.","她不会醒的。"
"That draught will make her sleep for many hours.","那药水会让她睡很多个小时。"
"I will call before noon again.","中午前我会再来看看。"
"It is now daylight.","现在天亮了。"
"Good-by.”","再见吧。”"
"Susan shut him out; and then, gently extricating the dead child from its mother’s arms, she could not resist making her own quiet moan over her darling.","苏珊把他送了出去，然后，轻轻地把死去的孩子从母亲怀里解脱出来，她再也控制不住自己，开始为她的小心肝无声地呜咽。"
"She tried to learn off its little placid face, dumb and pale before her.","她试图记住那张安详的小脸，在她面前是那么沉默、苍白。"
"Not all the scalding tears of care","所有关心的热泪，"
"Shall wash away that vision fair;","也不能冲走眼前这番景象；"
"Not all the thousand thoughts that rise,","所有产生的万千思绪，"
"Not all the sights that dim her eyes,","所有模糊她双眼的景象，"
"Shall e’er usurp the place","也不能侵占那天使般的面孔，"
"Of that little angel-face.","曾经呆过的地方。"
"And then she remembered what remained to be done.","然后她想起了接下来要做的事情。"
"She saw that all was right in the house; her father was still dead asleep on the settle, in spite of all the noise of the night.","她看到房子里的一切都还算正常，尽管昨夜有那么多的噪音，她的父亲却仍然在长椅上酣睡，"
"She went out through the quiet streets, deserted still, although it was broad daylight, and to where the Leighs lived.","虽然天已经大亮了，但街道上仍然空荡荡的，她出门穿过安静的街道，向着利家住的地方走去。"
"Mrs. Leigh, who kept her country hours, was opening her window-shutters.","利太太一直遵守着乡下的作息时间，已经在打开窗户摇杆了。"
"Susan took her by the arm, and, without speaking, went into the house-place.","苏珊抓住她的手臂，一句话也没说，进到房子里面。"
"There she knelt down before the astonished Mrs. Leigh, and cried as she had never done before; but the miserable night had overpowered her, and she who had gone through so much calmly, now that the pressure seemed removed could not find the power to speak.","她跪在惊愕的利太太面前，前所未有地失声痛哭；这痛苦的一夜已经击溃了她，之前她一直表现得都很沉着，但现在压力似乎被抛除了，她却找不到说话的力量。"
"“My poor dear!","“我可怜的宝贝！"
"What has made thy heart so sore as to come and cry a-this-ons?","是什么让你如此伤心哭成这样？"
"Speak and tell me.","告诉我。"
"Nay, cry on, poor wench, if thou canst not speak yet.","不，如果你现在说不出来，继续哭吧，可怜的姑娘。"
"It will ease the heart, and then thou canst tell me.”","这样会让你感觉好受点儿，然后你可以告诉我怎么回事。”"
"“Nanny is dead!” said Susan.","“南妮死了！”苏珊说道，"
"“I left her to go to father, and she fell downstairs, and never breathed again.","“我撇下她去找父亲，她从楼梯上摔了下来，就再也没有呼吸了。"
"Oh, that’s my sorrow!","哦，这是我的悲伤！"
"But I’ve more to tell.","但是我还有更多的话要说。"
"Her mother is come—is in our house!","她母亲来了——在我家里！"
"Come and see if it’s your Lizzie.”","去看看是不是你的莉齐。”"
"Mrs. Leigh could not speak, but, trembling, put on her things and went with Susan in dizzy haste back to Crown Street.","利太太说不出话来，只是颤抖地穿好衣服，跟着苏珊，晕乎乎慌里慌张地赶回克罗街。"

"CHAPTER IV.","第四章"
"As they entered the house in Crown Street, they perceived that the door would not open freely on its hinges, and Susan instinctively looked behind to see the cause of the obstruction.","当她们来到克朗街苏珊家时，发现装在铰链上的门无法自由地转动，于是苏珊本能地往门后查看是什么导致了阻塞。"
"She immediately recognised the appearance of a little parcel, wrapped in a scrap of newspaper, and evidently containing money.","她立刻认出了一个小包裹的样子，用一片废报纸包着，里面明显装了钱。"
"She stooped and picked it up.","她弯腰捡了起来。"
"“Look!” said she, sorrowfully, “the mother was bringing this for her child last night.”","“看！”她伤心地说道，“孩子的母亲昨天晚上给孩子送来这些东西。”"
"But Mrs. Leigh did not answer.","可是利太太没有任何反应。"
"So near to the ascertaining if it were her lost child or no, she could not be arrested, but pressed onwards with trembling steps and a beating, fluttering heart.","现在距离弄清楚是不是她丢失的孩子是如此之近，她不能再有任何耽搁，只有拖着发抖的脚步，怀揣一颗跳动、震颤的心坚决前行。"
"She entered the bedroom, dark and still.","她走进卧室，里面一片漆黑寂静。"
"She took no heed of the little corpse over which Susan paused, but she went straight to the bed, and, withdrawing the curtain, saw Lizzie; but not the former Lizzie, bright, gay, buoyant, and undimmed.","苏珊在那个小小的遗体旁停了下来，但是利太太根本没有留意到这些，她径直奔到床边，拉开窗帘，看到了莉齐；只是不再是从前的那个莉齐，那时的她开朗，快乐，活泼，光彩照人。"
"This Lizzie was old before her time; her beauty was gone; deep lines of care, and, alas! of want (or thus the mother imagined) were printed on the cheek, so round, and fair, and smooth, when last she gladdened her mother’s eyes.","眼前的莉齐看起来比实际年龄要老了很多；她不再美丽；过度的操劳以及营养不良（这或许是她母亲自己臆断的）在她的脸颊上刻下了深深的皱纹，上一次她让母亲的眼睛充满喜悦时，她的脸庞还是那么圆润、美丽和光滑。"
"Even in her sleep she bore the look of woe and despair which was the prevalent expression of her face by day; even in her sleep she had forgotten how to smile.","即使在睡着的时候，她的脸上都带着悲痛和绝望的表情，一天来都是这样；即使在睡着的时候她都想不起如何微笑。"
"But all these marks of the sin and sorrow she had passed through only made her mother love her the more.","但是所有这些她遭受过的罪恶和伤痛的印记只会让她的母亲更加爱她。"
"She stood looking at her with greedy eyes, which seemed as though no gazing could satisfy their longing; and at last she stooped down and kissed the pale, worn hand that lay outside the bed-clothes.","她站在那儿，用贪婪的目光望着女儿，似乎任何凝望都无法满足她们之间的渴望；终于她俯下身去亲吻那只露在被褥外面的苍白、粗糙的手。"
"No touch disturbed the sleeper; the mother need not have laid the hand so gently down upon the counterpane.","任何触摸都唤不醒这个沉睡者，她的母亲根本无需那么轻柔地把她的手放在床单上。"
"There was no sign of life, save only now and then a deep sob-like sigh.","莉齐没有一点儿生命的迹象，除了时不时发出一声低沉如啜泣般的叹息。"
"Mrs. Leigh sat down beside the bed, and still holding back the curtain, looked on and on, as if she could never be satisfied.","利太太在床边坐下来，窗帘仍然拉开着，她就这么一直看着，似乎永远都看不够。"
"Susan would fain have stayed by her darling one; but she had many calls upon her time and thoughts, and her will had now, as ever, to be given up to that of others.","如果继续呆在她的小宝贝身边，苏珊会晕倒的，但是她还有很多事情要做，很多主意要拿，她现在不得不把个人情感，和之前一样，为了其他事情搁置到一边。"
"All seemed to devolve the burden of their cares on her.","所有人的烦恼似乎都转移到了她的身上。"
"Her father, ill-humoured from his last night’s intemperance, did not scruple to reproach her with being the cause of little Nanny’s death; and when, after bearing his upbraiding meekly for some time, she could no longer restrain herself, but began to cry, he wounded her even more by his injudicious attempts at comfort; for he said it was as well the child was dead; it was none of theirs, and why should they be troubled with it?","她的父亲经历了昨晚的酗酒之后变得脾气暴躁，毫无顾忌地指责她才是导致小南妮死亡的原因；有那么一段时间，她温顺地忍受着他的斥责，之后她再也无法控制自己，开始放声大哭，而他试图安慰她的莽撞语言，让她更加受伤；他说孩子都已经死了；又不是他们的孩子，他们为什么要感到不安？"
"Susan wrung her hands at this, and came and stood before her father, and implored him to forbear.","苏珊懊恼地搓着双手，来到父亲身边恳求他不要再说了。"
"Then she had to take all requisite steps for the coroner’s inquest; she had to arrange for the dismissal of her school; she had to summons a little neighbour, and send his willing feet on a message to William Leigh, who, she felt, ought to be informed of his mother’s whereabouts, and of the whole state of affairs.","接下来她需要配合验尸官的调查而采取一些必需的举措；她不得不安排学校停课；然后她又不得不找来一个邻居小孩，派他去给威廉·利送信，她觉得他应该知道母亲的下落以及整个事情的进展。"
"She asked her messenger to tell him to come and speak to her; that his mother was at her house.","她吩咐送信人告诉威尔让他过来，她有话要说，还有他的母亲在她家里。"
"She was thankful that her father sauntered out to have a gossip at the nearest coach-stand, and to relate as many of the night’s adventures as he knew; for as yet he was in ignorance of the watcher and the watched, who silently passed away the hours upstairs.","令她感到欣慰的是，父亲终于出门了，来到就近的一个马车停靠点上聊天，向人们讲述他昨晚的经历；所幸他并不知道家里楼上的看护者和被看护的人，她们已经在一起静静地呆了好几个小时了。"
"At dinner-time Will came.","到了晚饭时刻，威尔过来了。"
"He looked red, glad, impatient, excited.","他看起来满脸通红，兴高采烈，急切而激动。"
"Susan stood calm and white before him, her soft, loving eyes gazing straight into his.","苏珊平静地站在他面前，脸色苍白，她那温柔而充满爱意的双眼紧盯着他的眼睛。"
"“Will,” said she, in a low, quiet voice, “your sister is upstairs.”","“威尔，”她用低沉、平静的声音说道，“你妹妹在楼上，”"
"“My sister!” said he, as if affrighted at the idea, and losing his glad look in one of gloom.","“我妹妹！”他说道，仿佛被吓到了，刚才的兴奋表情被一种阴郁所取代。"
"Susan saw it, and her heart sank a little, but she went on as calm to all appearance as ever.","苏珊看到了他表情的变化，她的心蓦地一沉，但是她外表还是保持着一如既往的冷静。"
"“She was little Nanny’s mother, as perhaps you know.","“她就是小南妮的母亲，你可能知道这些。"
"Poor little Nanny was killed last night by a fall downstairs.”","可怜的小南妮昨天晚上从楼梯上摔死了。”"
"All the calmness was gone; all the suppressed feeling was displayed in spite of every effort.","说到这里，她所有的冷静全都不见了，所有努力压抑的情感控制不住地宣泄出来。"
"She sat down, and hid her face from him, and cried bitterly.","她坐了下来，在他跟前掩面失声痛哭。"
"He forgot everything but the wish, the longing to comfort her.","他忘记了一切，满脑子只有想去安抚她的愿望和冲动。"
"He put his arm round her waist, and bent over her.","他用手臂搂住她的腰，俯下身去安慰她。"
"But all he could say, was, “Oh, Susan, how can I comfort you?","但是他唯一能说的就是：“哦，苏珊，我该怎么安慰你？"
"Don’t take on so—pray don’t!”","别这样——求求你别这样！”"
"He never changed the words, but the tone varied every time he spoke.","他的话语一直都没有变化，但是每次说话时的语气都有所不同。"
"At last she seemed to regain her power over herself; and she wiped her eyes, and once more looked upon him with her own quiet, earnest, unfearing gaze.","最终，她似乎恢复了自己的力量，擦干眼睛，再一次用她安静、诚挚和无畏的目光注视着他。"
"“Your sister was near the house.","“你妹妹当时就在房子附近。"
"She came in on hearing my words to the doctor.","她进来时听到了我对医生说的话。"
"She is asleep now, and your mother is watching her.","她现在睡着了，你母亲在照看她。"
"I wanted to tell you all myself.","我想亲自告诉你这些。"
"Would you like to see your mother?”","你想去看看你的母亲吗？”"
"“No!” said he.","“不！”他说道，"
"“I would rather see none but thee.","“我谁都不想见，我只想看到你。"
"Mother told me thou knew’st all.”","妈妈告诉我你知道了一切。”"
"His eyes were downcast in their shame.","他羞耻地垂下了眼睛。"
"But the holy and pure did not lower or veil her eyes.","可是这位神圣、纯洁的姑娘并没有低下或者遮掩她的眼睛。"
"She said, “Yes, I know all—all but her sufferings.","她说道：“是的，我知道了一切——除了她那些苦难的遭遇。"
"Think what they must have been!”","想想她都经历了什么！”"
"He made answer, low and stern, “She deserved them all; every jot.”","他回答的声音不大却很严厉：“她理应承受这一切，每一丁点儿。”"
"“In the eye of God, perhaps she does.","“在上帝的眼里，或许这是她应得的。"
"He is the Judge; we are not.”","上帝才是最高审判者，而不是你我。”"
"“Oh!” she said, with a sudden burst, “Will Leigh!","“哦！”她说道，突然爆发了，“威尔·利！"
"I have thought so well of you; don’t go and make me think you cruel and hard.","我一直都认为你是个很好的人，别让我觉得你残忍、冷酷。"
"Goodness is not goodness unless there is mercy and tenderness with it.","如果没有了慈悲和温柔，美德也就不再是美德了。"
"There is your mother, who has been nearly heart-broken, now full of rejoicing over her child.","还有你的母亲，曾经几乎心碎了，现在却充满了找回孩子的喜悦。"
"Think of your mother.”","想一想你的母亲吧。”"
"“I do think of her,” said he.","“我的确想到她了，”他说道，"
"“I remember the promise I gave her last night.","“我记得我昨天晚上对她的承诺。"
"Thou shouldst give me time.","你应该给我时间。"
"I would do right in time.","我会妥当处理的。"
"I never think it o’er in quiet.","我还没有安静地想清楚。"
"But I will do what is right and fitting, never fear.","但是，别怕，我会做出正确、恰当的选择的。"
"Thou hast spoken out very plain to me, and misdoubted me, Susan; I love thee so, that thy words cut me.","你已经对我说得很明白了，你不相信我，苏珊，我是那么爱你，你的话刺伤了我。"
"If I did hang back a bit from making sudden promises, it was because not even for love of thee, would I say what I was not feeling; and at first I could not feel all at once as thou wouldst have me.","如果我对做出这些突然的承诺确实有所迟疑的话，那是因为我若不是爱你如斯，我也不会说出我心中的真实感受；一开始我无法马上像你希望的那样去感受。"
"But I’m not cruel and hard; for if I had been, I should na’ have grieved as I have done.”","但是我不残忍，也不冷酷，因为如果我是那样的人，我就不会像我表现得那么伤心。”"
"He made as if he were going away; and indeed he did feel he would rather think it over in quiet.","他的话让人觉得他仿佛要离开了，事实上他确实认为他应该安静地把事情想清楚。"
"But Susan, grieved at her incautious words, which had all the appearance of harshness, went a step or two nearer—paused—and then, all over blushes, said in a low, soft whisper—","但是苏珊后悔自己轻率地说出了这么刺耳的话，上前走了一两步——然后停下——接着，她满面通红，以轻柔的耳语说道："
"“Oh, Will!","“哦，威尔！"
"I beg your pardon.","请原谅。"
"I am very sorry.","我很抱歉。"
"Won’t you forgive me?”","你会原谅我吗？”"
"She who had always drawn back, and been so reserved, said this in the very softest manner; with eyes now uplifted beseechingly, now dropped to the ground.","过去她总是退缩，那么保守，此刻她以最温柔的方式说出这样的话来，眼神一会儿恳求地上扬，一会儿又下落到地面上。"
"Her sweet confusion told more than words could do; and Will turned back, all joyous in his certainty of being beloved, and took her in his arms, and kissed her.","她那甜美的困惑比语言更具表达力，威尔完全沉浸在确定自己被人爱着的喜悦中，他转过身来，拥抱着她，亲吻她。"
"“My own Susan!” he said.","“我心爱的苏珊！”他说道。"
"Meanwhile the mother watched her child in the room above.","与此同时，楼上房间里的母亲正凝望着她的孩子。"
"It was late in the afternoon before she awoke, for the sleeping draught had been very powerful.","安眠药水的药效非常强，因此直到下午很晚的时候她才醒过来。"
"The instant she awoke, her eyes were fixed on her mother’s face with a gaze as unflinching as if she were fascinated.","醒过来的那一刹那，她的双眼便滞留在母亲的脸上，以一种近乎痴迷的凝视坚定地望着她。"
"Mrs. Leigh did not turn away, nor move; for it seemed as if motion would unlock the stony command over herself which, while so perfectly still, she was enabled to preserve.","利太太没有转过身去，甚至都没有动，似乎任何的动作都会打破她对自己坚如磐石般的控制，只有完全静止，她才能够继续保持下去。"
"But by-and-by Lizzie cried out, in a piercing voice of agony—","但是很快莉齐就哭了出来，哭声刺耳凄厉："
"“Mother, don’t look at me!","“妈妈，不要看着我！"
"I have been so wicked!” and instantly she hid her face, and grovelled among the bed-clothes, and lay like one dead, so motionless was she.","我是那么邪恶！”她迅速捂住了脸，倒在被褥之间，像一个死人般躺着，一动不动。"
"Mrs. Leigh knelt down by the bed, and spoke in the most soothing tones.","利太太跪在床边，以最抚慰的口气对她说道："
"“Lizzie, dear, don’t speak so.","“莉齐，亲爱的，别这么说。"
"I’m thy mother, darling; don’t be afeard of me.","我是你母亲，宝贝，不要害怕我。"
"I never left off loving thee, Lizzie.","我从来都没有停止爱你，莉齐。"
"I was always a-thinking of thee.","我一直都想着你。"
"Thy father forgave thee afore he died.”","你父亲在他临死前原谅了你。”"
"(There was a little start here, but no sound was heard.)","莉齐有一点儿吃惊，但是没有作声。"
"“Lizzie, lass, I’ll do aught for thee; I’ll live for thee; only don’t be afeard of me.","“莉齐，我的姑娘，我会为你做任何事情，我会为你而活，只是别再害怕我了。"
"Whate’er thou art or hast been, we’ll ne’er speak on’t.","不管你现在还是过去怎样，我们都不会再提了。"
"We’ll leave th’ oud times behind us, and go back to the Upclose Farm.","我们要把过去抛在身后，回到阿普克洛斯农场去。"
"I but left it to find thee, my lass; and God has led me to thee.","我离开那儿就是为了找到你，我的姑娘，上帝指引我找到了你。"
"Blessed be His name.","保佑他的圣名。"
"And God is good, too, Lizzie.","上帝也是善良的，莉齐。"
"Thou hast not forgot thy Bible, I’ll be bound, for thou wert always a scholar.","你没有忘记你的圣经，我敢肯定，因为你以前是那么好学。"
"I’m no reader, but I learnt off them texts to comfort me a bit, and I’ve said them many a time a day to myself.","我不读书，但是我把它们背下来了，这样能给我一点点安慰，并且我每天都念给自己听很多次。"
"Lizzie, lass, don’t hide thy head so; it’s thy mother as is speaking to thee.","莉齐，我的姑娘，别再这样蒙着头了，和你说话的是你的母亲。"
"Thy little child clung to me only yesterday; and if it’s gone to be an angel, it will speak to God for thee.","你的孩子昨天才扑向我的怀抱，如果她成为天使，她会对上帝提起你的。"
"Nay, don’t sob a that ’as; thou shalt have it again in heaven; I know thou’lt strive to get there, for thy little Nancy’s sake—and listen!","别，别这么哭了，你会在天堂再次拥有她的，为了你的小南希，我知道你会努力到达那儿的——听着！"
"I’ll tell thee God’s promises to them that are penitent—only doan’t be afeard.”","我会告诉你上帝对那些忏悔者的承诺——只是不要再害怕了。”"
"Mrs. Leigh folded her hands, and strove to speak very clearly, while she repeated every tender and merciful text she could remember.","利太太双手合十，重复诵念着她能记起来的每一个温柔慈悲的章节，努力使自己的声音非常清晰。"
"She could tell from the breathing that her daughter was listening; but she was so dizzy and sick herself when she had ended, that she could not go on speaking.","她从女儿的呼吸中可以判断出她在听，但是在诵读完完毕后她自己是那么头晕和难受，她无法再继续说下去。"
"It was all she could do to keep from crying aloud.","只有这样做，她才不会大声哭出来。"
"At last she heard her daughter’s voice.","终于她听到了女儿的声音。"
"“Where have they taken her to?” she asked.","“他们把她带哪儿去了？”她问道。"
"“She is downstairs.","“她在楼下。"
"So quiet, and peaceful, and happy she looks.”","她看起来是那么的安详、平静和幸福。”"
"“Could she speak!","“要是她能说话多好！"
"Oh, if God—if I might but have heard her little voice!","哦，如果上帝——如果我可以听到她那小小的声音！"
"Mother, I used to dream of it.","妈妈，我过去常常梦到她。"
"May I see her once again?","我还会再见到她吗？"
"Oh, mother, if I strive very hard and God is very merciful, and I go to heaven, I shall not know her—I shall not know my own again: she will shun me as a stranger, and chug to Susan Palmer and to you.","哦，妈妈，如果我非常努力，并且上帝也非常仁慈，我去了天堂，我会认不出她——我会连自己都认不出来；她会像躲避生人一样躲开我，扑到苏珊·帕尔默和你的怀里。"
"Oh, woe!","哦，呜呜！"
"Oh, woe!”","哦，呜呜！”"
"She shook with exceeding sorrow.","她极度悲哀地摇了摇头。"
"In her earnestness of speech she had uncovered her face, and tried to read Mrs. Leigh’s thoughts through her looks.","在她说出这些诚挚的话时，双手已经从脸上拿开，试图从利太太的表情读出她心里面的想法。"
"And when she saw those aged eyes brimming full of tears, and marked the quivering lips, she threw her arms round the faithful mother’s neck, and wept there, as she had done in many a childish sorrow, but with a deeper, a more wretched grief.","当她看到那双老迈的双眼噙满了泪水，留意到那颤抖着的嘴唇时，她伸出双臂环绕住她忠贞的母亲的脖颈，哭了起来，就像以前多次经历的儿时哀伤一样，只是这次的哀伤更加深沉，更加悲惨。"
"Her mother hushed her on her breast; and lulled her as if she were a baby; and she grew still and quiet.","母亲把她抱在怀里，像哄小孩一样哄着她，她逐渐安静了下来。"
"They sat thus for a long, long time.","她们就那样坐了很长、很长的时间。"
"At last, Susan Palmer came up with some tea and bread and butter for Mrs. Leigh.","最后，苏珊·帕尔默上楼来给利太太带了一些茶、面包以及黄油。"
"She watched the mother feed her sick, unwilling child, with every fond inducement to eat which she could devise; they neither of them took notice of Susan’s presence.","她看着这位母亲喂她那生病的、不情愿的孩子吃东西，每一口她都费尽心机地诱导；她们两个谁也没有注意到苏珊的存在。"
"That night they lay in each other’s arms; but Susan slept on the ground beside them.","那一夜她们躺在彼此的怀抱里，而苏珊则睡在她们身旁的地面上。"
"They took the little corpse (the little unconscious sacrifice, whose early calling-home had reclaimed her poor wandering mother) to the hills, which in her lifetime she had never seen.","他们把孩子那小小的遗体（这幼小无辜的牺牲者啊，她的夭折感化了她那可怜的流浪母亲）带到了她一生都没有见过的山上。"
"They dared not lay her by the stern grandfather in Milne Row churchyard, but they bore her to a lone moorland graveyard, where, long ago, the Quakers used to bury their dead.","他们不敢把她葬在米尔恩·罗教堂墓地里她严厉的祖父身边，而是把她带到了一片人迹罕至的荒野墓地，很久以前，那儿曾经是贵格会教徒的埋葬地点。"
"They laid her there on the sunny slope, where the earliest spring flowers blow.","他们把她葬在了向阳坡上，最早的春花会在那里开放。"
"Will and Susan live at the Upclose Farm.","威尔和苏珊住在阿普克洛斯农场。"
"Mrs. Leigh and Lizzie dwell in a cottage so secluded that, until you drop into the very hollow where it is placed, you do not see it.","利太太和莉齐住在山谷里一个僻静的茅屋里，只有走进这条山谷，你才能看到它的存在。"
"Tom is a schoolmaster in Rochdale, and he and Will help to support their mother.","汤姆现在是罗奇代尔的一名男教师，他和威尔一起赡养他们的母亲。"
"I only know that, if the cottage be hidden in a green hollow of the hills, every sound of sorrow in the whole upland is heard there—every call of suffering or of sickness for help is listened to by a sad, gentle-looking woman, who rarely smiles (and when she does her smile is more sad than other people’s tears), but who comes out of her seclusion whenever there is a shadow in any household.","我知道的只有这些，如果茅屋隐藏在绿色的山谷中，那么在整个高地的每一个悲伤的声音都会被听到——每一声痛苦或疾病的呼唤都会被一个伤心的、相貌温和的女人听到，她很少有笑容出现（当她笑的时候，她的笑容比别人的眼泪还要悲伤），每当有家庭出现阴影的时候，她就会从她的幽居中走出来。"
"Many hearts bless Lizzie Leigh, but she—she prays always and ever for forgiveness—such forgiveness as may enable her to see her child once more.","有许多颗心在祝福莉齐·利，可是她——她总是不停地在祈求宽恕——只有宽恕才可能让她再次见到她的孩子。"
"Mrs. Leigh is quiet and happy.","利太太的生活安静而幸福。"
"Lizzie is, to her eyes, something precious—as the lost piece of silver—found once more.","在她的眼里，莉齐就是她的宝贝——好比丢失的银元——失而复得。"
"Susan is the bright one who brings sunshine to all.","苏珊是那个给大家带来阳光的欢快的人。"
"Children grow around her and call her blessed.","孩子们在她身边长大并且都称她有福。"
"One is called Nanny; her Lizzie often takes to the sunny graveyard in the uplands, and while the little creature gathers the daisies, and makes chains, Lizzie sits by a little grave and weeps bitterly.","其中一个孩子叫南妮，莉齐经常带着她来到阳光明媚的高地墓地，当小家伙忙着采摘雏菊编织项圈时，莉齐则坐在一个小小的坟前，伤心地流泪。"

