title,video,category,age
好的,jichu001,跟我学英语,4—6
你好,jichu002,跟我学英语,4—6
再见,jichu003,跟我学英语,4—6
你好吗（1）,jichu004,跟我学英语,4—6
你好吗（2）,jichu005,跟我学英语,4—6
你好吗（3）,jichu006,跟我学英语,4—6
你好，我是露西,jichu007,跟我学英语,4—6
你叫什么名字（1）,jichu008,跟我学英语,4—6
你叫什么名字（2）,jichu009,跟我学英语,4—6
Role Play：打招呼和自我介绍,jichu010,跟我学英语,4—6
早上好,jichu011,跟我学英语,4—6
下午好,jichu012,跟我学英语,4—6
我是男(女)孩,jichu013,跟我学英语,4—6
Role Play：男孩和女孩,jichu014,跟我学英语,4—6
指一指桌子在哪儿,jichu015,跟我学英语,4—6
指一指门在哪儿,jichu016,跟我学英语,4—6
指一指窗户在哪儿,jichu017,跟我学英语,4—6
这是什么颜色（1）,jichu018,跟我学英语,4—6
这是什么颜色（2）,jichu019,跟我学英语,4—6
这是什么，那是什么（1）,jichu020,跟我学英语,4—6
这是什么，那是什么（2）,jichu021,跟我学英语,4—6
这是什么，那是什么（3）,jichu022,跟我学英语,4—6
这是什么，那是什么（4）,jichu023,跟我学英语,4—6
Role Play：这是什么？,jichu024,跟我学英语,4—6
这是一个橡皮,jichu025,跟我学英语,4—6
这是一只猴子吗？,jichu026,跟我学英语,4—6
这是精卫，她是女孩,jichu027,跟我学英语,4—6
Smart先生是医生,jichu028,跟我学英语,4—6
她是老师,jichu029,跟我学英语,4—6
这是我的家人,jichu030,跟我学英语,4—6
Jack是一名警察,jichu031,跟我学英语,4—6
书包在哪儿？,jichu032,跟我学英语,4—6
铅笔在哪儿？,jichu033,跟我学英语,4—6
猫咪在哪儿？,jichu034,跟我学英语,4—6
Role Play：铅笔在哪里？,jichu035,跟我学英语,4—6
猫咪在床下吗？,jichu036,跟我学英语,4—6
铅笔在书下吗？,jichu037,跟我学英语,4—6
书在椅子上,jichu038,跟我学英语,4—6
猴子在树下,jichu039,跟我学英语,4—6
用手指向你的眼睛,jichu040,跟我学英语,4—6
这是我的脸,jichu041,跟我学英语,4—6
这是她的眼睛,jichu042,跟我学英语,4—6
Role Play：摸摸你的脸,jichu043,跟我学英语,4—6
Role Play：指指它的腿,jichu044,跟我学英语,4—6
它们是什么动物（1）,jichu045,跟我学英语,4—6
它们是什么动物（2）,jichu046,跟我学英语,4—6
它的耳朵大,jichu047,跟我学英语,4—6
它们是瘦瘦的猴子,jichu048,跟我学英语,4—6
它们是高高的长颈鹿,jichu049,跟我学英语,4—6
它们是长长的蛇,jichu050,跟我学英语,4—6
你看，猴子可爱吗？,jichu051,跟我学英语,4—6
"你看,老虎胖吗？",jichu052,跟我学英语,4—6
Role Play：猜动物,jichu053,跟我学英语,4—6
它们是可爱的小狗,jichu054,跟我学英语,4—6
树上有一只猫,jichu055,跟我学英语,4—6
盒子里有一只球,jichu056,跟我学英语,4—6
树上有两只猴子,jichu057,跟我学英语,4—6
图中有一个男孩,jichu058,跟我学英语,4—6
图中有三只老虎,jichu059,跟我学英语,4—6
图中有五匹白马,jichu060,跟我学英语,4—6
那边有一双鞋,jichu061,跟我学英语,4—6
他有一条绿色的短裤,jichu062,跟我学英语,4—6
椅子上有一只白猫,jichu063,跟我学英语,4—6
盒子里有三只铅笔,jichu064,跟我学英语,4—6
戴上帽子,jichu065,跟我学英语,4—6
喜欢的动物,jichu066,跟我学英语,4—6
喜欢的颜色,jichu067,跟我学英语,4—6
喜欢的运动,jichu068,跟我学英语,4—6
我喜欢足球,jichu069,跟我学英语,4—6
最喜欢的运动（1）,jichu070,跟我学英语,4—6
最喜欢的运动（2）,jichu071,跟我学英语,4—6
我喜欢的运动,jichu072,跟我学英语,4—6
你最喜欢什么动物？,jichu073,跟我学英语,4—6
我们踢足球吧,jichu074,跟我学英语,4—6
我们去游泳吧,jichu075,跟我学英语,4—6
我们去唱歌吧,jichu076,跟我学英语,4—6
我们画老虎吧,jichu077,跟我学英语,4—6
我们去打乒乓球吧,jichu078,跟我学英语,4—6
我们去打篮球吧,jichu079,跟我学英语,4—6
我们跳舞吧,jichu080,跟我学英语,4—6
我们唱歌吧,jichu081,跟我学英语,4—6
我们去动物园吧,jichu082,跟我学英语,4—6
我最喜欢熊猫,jichu083,跟我学英语,4—6